,,Run 1 values,,,Run 2 values,,,Run 3 values,,,Cumulative pTau results,,,,Cumulative total Tau results,,,,Cumulative pTau/total Tau results,,,
Well Contents,Average Cell Count,pTau,pTau2,pTau3,Total Tau,Total Tau2,Total Tau3,ptau/total Tau,ptau/total Tau2,ptau/total tau3,Average pTau,St Dev,pvalue,Z score,Average Total Tau,St Dev2,pvalue2,Z score3,Average pTau/total Tau,St Dev3,pvalue3,Z score2
AAK1 s1,155,1.06182,1.20902,1.28131,1.04109,0.85652,0.99569,1.01992,1.41154,1.28686,1.18405,0.11185,0.10422,0.31564,0.96443,0.09617,0.5874,0.56083,1.23944,0.20007,0.17394,-0.27517
AAK1 s2,53,1.09388,1.24184,0.8436,1.27356,0.94028,1.16454,0.85892,1.3207,0.72441,1.05977,0.2013,0.65823,-1.00221,1.12613,0.16992,0.32733,1.84107,0.96801,0.31276,0.87569,-1.76811
AATK s1,109,1.01821,1.18966,1.3332,0.89499,0.73863,0.91132,1.13768,1.61064,1.46293,1.18036,0.1577,0.18613,-0.66081,0.84831,0.09534,0.11032,-0.35857,1.40375,0.24197,0.10177,-0.22956
AATK s2,15,1.51576,1.02901,1.44839,0.66848,1.10942,0.85471,2.26748,0.92751,1.69459,1.33105,0.26374,0.16174,0.41577,0.87754,0.22136,0.43907,-0.12717,1.62986,0.67232,0.24613,0.82951
ABL1 s1,72,0.96955,0.98117,0.8261,0.85111,1.09443,0.70459,1.13917,0.89652,1.17246,0.92561,0.08637,0.27427,-1.26035,0.88337,0.19691,0.41283,-0.08096,1.06938,0.15063,0.50866,-1.14071
ABL1 s2,204,0.93604,0.99681,0.7373,1.05841,1.03704,1.21643,0.88439,0.96121,0.60611,0.89005,0.13573,0.2957,-1.09726,1.10396,0.09799,0.20751,1.66555,0.81724,0.18683,0.23228,-1.93117
ABL2 s1,168,1.18023,1.15284,0.90036,0.89899,1.04787,1.12426,1.31284,1.10018,0.80084,1.07781,0.15429,0.4745,-0.72539,1.02371,0.11456,0.75433,1.03014,1.07129,0.25722,0.67858,-1.2757
ABL2 s2,157,0.91845,1.26246,0.78634,0.99559,0.93789,1.04611,0.92253,1.34606,0.75167,0.98908,0.2458,0.94569,-0.7689,0.9932,0.05415,0.84793,0.78858,1.00675,0.30601,0.97298,-1.28853
ACVR1 s1,179,0.78181,0.45575,0.69057,0.74242,0.74424,0.8629,1.05306,0.61237,0.80029,0.64271,0.16822,0.06659,-2.12521,0.78319,0.06904,0.03218,-0.87421,0.82191,0.22114,0.29778,-1.74092
ACVR1 s2,237,0.73361,1.02204,0.64944,0.69017,0.72811,0.78126,1.06295,1.40369,0.83127,0.8017,0.19541,0.22088,-1.85696,0.73318,0.04576,0.00966,-1.27015,1.0993,0.28794,0.6109,-0.96089
ACVR1B s1,275,0.66937,0.85236,0.95104,0.5374,0.73083,1.12459,1.24558,1.16629,0.84568,0.82426,0.14292,0.16693,-1.3641,0.79761,0.29924,0.36207,-0.76004,1.08585,0.21174,0.55525,-0.77454
ACVR1B s2,100,0.88233,1.20924,0.7459,0.93074,0.82009,0.87665,0.94799,1.47451,0.85086,0.94582,0.2381,0.73155,-1.47518,0.87583,0.05533,0.06026,-0.14071,1.09112,0.33556,0.68443,-1.26468
ACVR2 s1,316,0.98977,0.97877,1.5024,0.78466,1.06378,0.67303,1.2614,0.92009,2.23229,1.15698,0.29919,0.45939,0.41739,0.84049,0.20127,0.30351,-0.42353,1.47126,0.68081,0.35334,0.87111
ACVR2 s2,137,0.8369,1.18561,0.84567,0.95352,0.98169,0.73464,0.8777,1.20773,1.15113,0.95606,0.19885,0.73877,-0.76087,0.88995,0.13524,0.29409,-0.0289,1.07885,0.17649,0.51997,-0.85892
ACVRL1 s1,235,0.68121,0.53883,1.86299,0.52502,0.81023,0.60589,1.2975,0.66504,3.07479,1.02768,0.7269,0.95341,-0.81252,0.64705,0.14699,0.05324,-1.95212,1.67911,1.24938,0.44585,1.32106
ACVRL1 s2,221,0.81171,0.94185,0.82272,0.80302,0.81791,0.69946,1.01083,1.15153,1.17623,0.85876,0.07216,0.07709,-1.757,0.77346,0.06452,0.02599,-0.95122,1.11286,0.08922,0.15983,-1.01219
ADCK1 s1,371,0.95023,1.1762,0.97293,0.83656,0.94539,0.52795,1.13587,1.24415,1.84286,1.03312,0.12443,0.69007,-1.00827,0.76996,0.21654,0.20714,-0.9789,1.40763,0.38079,0.20489,0.01731
ADCK1 s2,372,1.02934,1.08001,0.86899,0.77493,1.16616,0.70697,1.3283,0.92613,1.22918,0.99278,0.11016,0.91999,-0.93603,0.88269,0.24784,0.49845,-0.08641,1.1612,0.20953,0.31421,-0.79401
ADCK2 s1,390,1.06745,1.32617,1.19294,0.83481,0.69268,1.12885,1.27867,1.91456,1.05677,1.19552,0.12938,0.1202,-0.75178,0.88545,0.22245,0.46655,-0.06455,1.41667,0.44523,0.24648,-0.25278
ADCK2 s2,317,0.83856,1.0971,1.46276,0.8384,0.96278,0.93966,1.00019,1.13951,1.5567,1.13281,0.31363,0.53961,-0.22498,0.91361,0.06616,0.15211,0.15844,1.23213,0.28958,0.29942,-0.50384
ADCK4 s1,367,0.81284,1.2765,1.07441,0.76364,0.76909,0.69485,1.06442,1.65974,1.54625,1.05458,0.23247,0.72364,-1.13631,0.74253,0.04138,0.0085,-1.19613,1.42347,0.31608,0.14608,-0.03484
ADCK4 s2,419,1.14382,0.82477,1.20523,0.8808,0.76412,0.77395,1.29862,1.07938,1.55724,1.05794,0.20425,0.67181,-0.65986,0.80629,0.06471,0.03524,-0.6913,1.31175,0.2392,0.15257,-0.18658
ADCK5 s1,413,1.29059,0.89902,1.32127,0.99032,1.17965,0.85723,1.3032,0.76211,1.54132,1.17029,0.23543,0.33689,0.18995,1.00907,0.16202,0.93162,0.91423,1.20221,0.3993,0.47292,-0.47067
MARK2 s1,453,0.71225,0.68028,0.62444,0.94233,1.02049,0.97392,0.75583,0.66662,0.64116,0.67232,0.04444,0.00608,-2.02664,0.97891,0.03932,0.45098,0.67548,0.6868,0.06022,0.01218,-2.32059
ADK s1,441,1.0008,1.26507,1.07927,0.90614,0.87186,0.66842,1.10446,1.451,1.61465,1.11505,0.13572,0.27978,-0.11693,0.81547,0.1285,0.1307,-0.61857,1.39004,0.2605,0.12206,0.30032
ADK s2,371,1.02604,1.13185,1.10426,0.97632,0.69818,0.73743,1.05092,1.62114,1.49743,1.08738,0.05489,0.11019,-0.4479,0.80398,0.15054,0.15278,-0.7096,1.38983,0.29995,0.15324,0.15545
ADRBK1 s1,301,0.74105,0.98396,1.59535,0.93492,0.92307,0.67414,0.79264,1.06595,2.36648,1.10679,0.44019,0.71519,-0.63025,0.84405,0.14726,0.20804,-0.39235,1.40836,0.84094,0.48884,0.01439
ADRBK1 s2,358,0.98548,0.73077,1.69947,0.95208,0.86535,0.85462,1.03508,0.84448,1.98857,1.13857,0.50217,0.67982,-0.18603,0.89068,0.05344,0.07126,-0.0231,1.28938,0.61297,0.49945,-0.26317
ADRBK2 s1,194,1.12463,0.68572,0.77089,1.14199,1.03293,0.71795,0.9848,0.66386,1.07375,0.86041,0.23275,0.40802,-1.54022,0.96429,0.2202,0.80517,0.55968,0.90747,0.21561,0.53474,-1.75378
ADRBK2 s2,431,1.41615,0.80702,0.84626,0.92135,0.71197,0.7795,1.53704,1.1335,1.08564,1.02314,0.34092,0.91714,-0.53443,0.80428,0.10687,0.08665,-0.70724,1.25206,0.24796,0.22035,-0.2223
AK1 s1,184,1.10275,1.29504,0.94798,1.22279,1.12131,0.67326,0.90183,1.15493,1.40805,1.11526,0.17387,0.3697,-0.5801,1.00579,0.29241,0.97577,0.88825,1.15494,0.25311,0.40014,-0.99749
AK1 s2,393,0.90583,1.22867,0.97903,0.8305,0.93224,0.69755,1.09071,1.31798,1.40352,1.03784,0.16926,0.73591,-0.42108,0.82009,0.11769,0.11794,-0.58199,1.27074,0.16167,0.10115,-0.12644
AK2 s1,290,0.94857,0.79796,0.9734,0.91941,0.80654,0.79895,1.03173,0.98937,1.21834,0.90664,0.09494,0.23065,-1.06735,0.84163,0.06746,0.0555,-0.41147,1.07981,0.12183,0.37419,-0.89995
